id,name,year,introduction,picture_path,rating,rating_number
tt0103162,Saang gong kei bing 4,1990,"The story of gangsters versus police, focusing on the difference between how both factions act depending if they're coming from Hong Kong or Mainland China.","https://m.media-amazon.com/images/M/MV5BMTIzMjY2MzAzNl5BMl5BanBnXkFtZTcwODg3MDYxMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",7.1,1
tt0108593,Last Hero in China,1993,"Jet Li stars in this comic spectacle as a Chinese ""Robin Hood"" who stumbles upon a kidnapping scheme after unwittingly opening a martial arts school next to a brothel!","https://m.media-amazon.com/images/M/MV5BMTU0NDE5OTM2MV5BMl5BanBnXkFtZTcwNzM3MTcyMQ@@._V1_UY268_CR2,0,182,268_AL_.jpg",6.8,1
tt1922685,Phantom,2013,"The haunted Captain of a Soviet submarine holds the fate of the world in his hands. Forced to leave his family behind, he is charged with leading a covert mission cloaked in mystery.","https://m.media-amazon.com/images/M/MV5BMTQ0OTA5MDgzM15BMl5BanBnXkFtZTcwMDM3NTU3OQ@@._V1_UY268_CR3,0,182,268_AL_.jpg",5.9,1
tt0044081,A Streetcar Named Desire,1951,Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.,"https://m.media-amazon.com/images/M/MV5BNzk2M2Y3MzYtNGMzMi00Y2FjLTkwODQtNmExYWU3ZWY3NzExXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX182_CR0,0,182,268_AL_.jpg",8,1
tt1024648,Argo,2012,"Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979.","https://m.media-amazon.com/images/M/MV5BNzljNjY3MDYtYzc0Ni00YjU0LWIyNDUtNTE0ZDRiMGExMjZlXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX182_CR0,0,182,268_AL_.jpg",7.7,1
tt0099487,Edward Scissorhands,1990,"A gentle man, with scissors for hands, is brought into a new community after living in isolation.","https://m.media-amazon.com/images/M/MV5BNDUxN2I5NDUtZjdlMC00NjlmLTg0OTQtNjk0NjAxZjFmZTUzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",7.9,1
tt2713180,Fury,2014,"A grizzled tank commander makes tough decisions as he and his crew fight their way across Germany in April, 1945.","https://m.media-amazon.com/images/M/MV5BMjA4MDU0NTUyN15BMl5BanBnXkFtZTgwMzQxMzY4MjE@._V1_UX182_CR0,0,182,268_AL_.jpg",7.6,1
tt0299977,Ying xiong,2002,"A defense officer, Nameless, was summoned by the King of Qin regarding his success of terminating three warriors.","https://m.media-amazon.com/images/M/MV5BMWQ2MjQ0OTctMWE1OC00NjZjLTk3ZDAtNTk3NTZiYWMxYTlmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",7.9,1
tt0441773,Kung Fu Panda,2008,"The Dragon Warrior has to clash against the savage Tai Lung as China's fate hangs in the balance. However, the Dragon Warrior mantle is supposedly mistaken to be bestowed upon an obese panda who is a novice in martial arts.","https://m.media-amazon.com/images/M/MV5BODJkZTZhMWItMDI3Yy00ZWZlLTk4NjQtOTI1ZjU5NjBjZTVjXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY268_CR1,0,182,268_AL_.jpg",7.6,1
tt0372784,Batman Begins,2005,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.","https://m.media-amazon.com/images/M/MV5BZmUwNGU2ZmItMmRiNC00MjhlLTg5YWUtODMyNzkxODYzMmZlXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UY268_CR9,0,182,268_AL_.jpg",8.3,1
